dataset_case,method,noise,seed,accuracy,neighbor_overlap,embed_time_sec,pipeline_time_sec,ambient_dim,embed_dim,accuracy_pct,neighbor_overlap_pct,embed_time_ms,pipeline_time_ms
holes,pca,0.2,1,0.8233333333333334,0.4860833333333333,0.0003897909991792403,0.010282917000949965,30,2,82.33333333333334,48.608333333333334,0.3897909991792403,10.282917000949965
holes,pca,0.2,2,0.7866666666666666,0.4714166666666667,0.0003884590005327482,0.010222208000413957,30,2,78.66666666666666,47.14166666666667,0.3884590005327482,10.222208000413957
holes,pca,0.35,0,0.8133333333333334,0.43166666666666664,0.00038174999826878775,0.010220957999990787,30,2,81.33333333333333,43.166666666666664,0.38174999826878775,10.220957999990787
holes,pca,0.35,1,0.8066666666666666,0.4496666666666666,0.00037991599856468383,0.01064629200118361,30,2,80.66666666666666,44.96666666666666,0.37991599856468383,10.64629200118361
holes,pca,0.35,2,0.7466666666666667,0.44,0.0004163329995208187,0.010582750001049135,30,2,74.66666666666667,44.0,0.4163329995208187,10.582750001049135
holes,gaussian_rp,0.0,0,0.8533333333333334,0.40891666666666665,0.0003116250009043142,0.010229167000943562,30,2,85.33333333333334,40.891666666666666,0.3116250009043142,10.229167000943562
holes,gaussian_rp,0.0,1,0.8133333333333334,0.49700000000000005,0.0002954579995275708,0.010070708000057493,30,2,81.33333333333333,49.7,0.2954579995275708,10.070708000057493
holes,gaussian_rp,0.0,2,0.8,0.30491666666666667,0.0003004589998454321,0.010005541000282392,30,2,80.0,30.491666666666667,0.3004589998454321,10.005541000282392
holes,gaussian_rp,0.1,0,0.84,0.40066666666666667,0.0003026249996764818,0.010263166999720852,30,2,84.0,40.06666666666667,0.3026249996764818,10.263166999720852
holes,gaussian_rp,0.1,1,0.8233333333333334,0.48491666666666666,0.000309749999360065,0.010412916999484878,30,2,82.33333333333334,48.49166666666667,0.309749999360065,10.412916999484878
holes,gaussian_rp,0.1,2,0.81,0.29975,0.00031054200007929467,0.010434207999423961,30,2,81.0,29.975,0.31054200007929467,10.434207999423961
holes,gaussian_rp,0.2,0,0.84,0.38616666666666666,0.00029637500119861215,0.010025917001257767,30,2,84.0,38.61666666666667,0.29637500119861215,10.025917001257767
holes,gaussian_rp,0.2,1,0.8266666666666667,0.46149999999999997,0.0002986670006066561,0.01006233299995074,30,2,82.66666666666667,46.15,0.2986670006066561,10.06233299995074
