dataset_case,method,noise,accuracy_mean,accuracy_std,neighbor_overlap_mean,neighbor_overlap_std,embed_time_mean,embed_time_std,pipeline_time_mean,pipeline_time_std
standard,lle,0.0,0.9811111111111112,0.0069388866648870985,0.5779444444444445,0.04671056962631498,0.05903413833342105,0.0009920872844273398,0.13215576433382617,0.003190642343992347
standard,lle,0.1,0.9777777777777779,0.010183501544346371,0.5393888888888888,0.023766271229373574,0.05858638899978056,0.00037234797249431737,0.13090922199990018,0.00021990741415977755
standard,lle,0.2,0.9066666666666667,0.13856406460551018,0.48627777777777775,0.022916717171661515,0.05895447233281933,0.0009895679732070009,0.13112891699953858,0.0016797784896866068
standard,lle,0.35,0.8933333333333334,0.1443760521847181,0.5192500000000001,0.0720246389169089,0.058550444333983855,0.00039709159161169645,0.13063330566668205,0.001437195510838555
holes,raw_knn,0.0,0.9822222222222222,0.010183501544346298,,,,,0.0011982643336523324,3.2828342356869306e-05
holes,raw_knn,0.1,0.9844444444444443,0.010183501544346293,,,,,0.0012613470001573053,3.427552403154792e-05
holes,raw_knn,0.2,0.9833333333333334,0.009999999999999981,,,,,0.0012360416670465686,5.6137433369089077e-05
holes,raw_knn,0.35,0.9788888888888888,0.00962250448649373,,,,,0.0012860416663897922,2.4368184145003497e-05
holes,pca,0.0,0.8099999999999999,0.012018504251546616,0.49638888888888894,0.007386329966253213,0.0003898750007162259,1.922216766655176e-06,0.010351569333579391,9.252907782274573e-05
holes,pca,0.1,0.8133333333333334,0.026666666666666686,0.48580555555555555,0.01182756119002156,0.0003929720005544368,4.647496258725667e-06,0.010549514000255536,0.0001597982918524703
holes,pca,0.2,0.8111111111111112,0.021169509870286318,0.47341666666666665,0.011794537341969374,0.0003843750000669388,8.25415344457833e-06,0.01023386100071851,4.4391823449472227e-05
holes,pca,0.35,0.7888888888888889,0.03671713698190738,0.4404444444444444,0.009008226692759655,0.00039266633211809676,2.0516438487026915e-05,0.01048333333407451,0.00022943410469442334
holes,gaussian_rp,0.0,0.8222222222222223,0.027755546659548457,0.40361111111111114,0.09615151286342785,0.00030251400009243906,8.277092055203016e-06,0.010101805333761149,0.00011501056545176537
holes,gaussian_rp,0.1,0.8244444444444445,0.015030832509409592,0.39511111111111114,0.09270826154803713,0.00030763899970528047,4.36027103531534e-06,0.010370097332876563,9.321426275627124e-05
holes,gaussian_rp,0.2,0.8155555555555556,0.031505437508350644,0.3819444444444444,0.08174848509186464,0.0002973890004795976,1.168583611327781e-06,0.010022180333786915,4.214542021825831e-05
holes,gaussian_rp,0.35,0.8111111111111112,0.05928587365312927,0.36791666666666667,0.06468046459326034,0.0003109306671831291,1.9317273870719737e-05,0.010227458333247341,0.00018089963064489602
holes,sparse_rp,0.0,0.9488888888888889,0.021169509870286318,0.46294444444444444,0.030100795178373167,0.0004366670006371957,3.0720514356695744e-06,0.01029688933340367,9.881140061619095e-05
holes,sparse_rp,0.1,0.9455555555555556,0.021430335024428745,0.44813888888888886,0.03423086786534652,0.0005818053335436465,8.446893487427198e-05,0.010793403000207036,0.0004472466996701276
holes,sparse_rp,0.2,0.9466666666666667,0.018559214542766687,0.4224722222222222,0.03703604975535976,0.0004874586672182583,3.0484048499218284e-05,0.010292874999625687,0.00013376698922435074
holes,sparse_rp,0.35,0.9444444444444445,0.017105338131489584,0.38127777777777777,0.03435257686167133,0.00045258333314753446,1.9747993787804272e-05,0.010446278000623957,0.00023628229801815013
holes,isomap,0.0,0.9777777777777779,0.015030832509409592,0.5618611111111111,0.06858274267330369,0.14584829166657678,0.006107030378837593,0.3945074996663607,0.004068486023297922
holes,isomap,0.1,0.9722222222222222,0.011706281947614125,0.583888888888889,0.11086191152025986,0.13961204133314217,0.003523442017046372,0.38527022233392927,0.004350804485481799
holes,isomap,0.2,0.9755555555555556,0.016777409856157267,0.5938611111111111,0.10816333884625777,0.14344095833378864,0.005419598534107945,0.39293941666619503,0.005044925287471005
holes,isomap,0.35,0.9777777777777779,0.013877773329774237,0.6270555555555556,0.049611989851617945,0.13416745866682808,0.0020291007219447703,0.37614476399964286,0.004692087977137543
holes,lle,0.0,0.8877777777777777,0.0211695098702863,0.20383333333333334,0.058496854141436086,0.05808618033370294,0.0003639993072664527,0.12972337499923015,0.0008495775919059981
holes,lle,0.1,0.9255555555555556,0.02268953095184679,0.223,0.05109638223766706,0.05776559766673017,0.00038365620834341567,0.1293921666674578,0.0007073602153960822
holes,lle,0.2,0.9411111111111111,0.03863408589047496,0.18252777777777782,0.036867756664617946,0.05836137466637107,0.0002521996536221685,0.12908579133242407,0.0009706773271367878
holes,lle,0.35,0.94,0.008819171036881995,0.17677777777777778,0.01509790579051476,0.05817216699991453,0.0005863742821461865,0.13020873599998595,0.0008224487585848665
two_manifold,raw_knn,0.0,0.8933333333333334,0.014529663145135563,,,,,0.001187500000014552,7.591314154456355e-05
two_manifold,raw_knn,0.1,0.8911111111111111,0.013471506281091254,,,,,0.0012607223325176165,0.00013048141353960363
two_manifold,raw_knn,0.2,0.8966666666666666,0.014529663145135529,,,,,0.0011957083327918856,0.00010081124146229288
two_manifold,raw_knn,0.35,0.8855555555555555,0.0019245008972988051,,,,,0.0012541666674223961,3.202791059176817e-05
two_manifold,pca,0.0,0.7822222222222223,0.08228226036254936,0.35325,0.0349065219948619,0.00038473600034194533,3.1669349328667546e-06,0.010298152999894228,2.7653466464836434e-05
two_manifold,pca,0.1,0.7755555555555556,0.07748357054049393,0.3507777777777778,0.03225940144332314,0.0003772223329481979,2.0147973295894935e-05,0.010338444333683583,9.176216224238091e-05
two_manifold,pca,0.2,0.7733333333333333,0.06691619966628243,0.3453611111111112,0.029393089386855923,0.00038572233340043266,4.083570543149564e-06,0.01029312533319171,0.00014864446188223322
two_manifold,pca,0.35,0.7744444444444444,0.06406015691288701,0.3302222222222222,0.026400932924032436,0.00038245833335774176,1.4188366618718696e-06,0.010238152666109576,6.644871667439366e-05
two_manifold,gaussian_rp,0.0,0.5944444444444444,0.1184311020210735,0.2763333333333334,0.07137844173449323,0.00030320833381362416,4.04885703754051e-06,0.010072833333348777,6.89875825459246e-05
